time_sec,psi_deg,target_psi_deg,angle_error_deg,omega_rad_s,u_cmd,roll_deg,pitch_deg,body_roll_deg,body_pitch_deg,moment_nm,horizon,mpc_cost,q_angle,q_terminal,q_omega,r_u,r_du,settled
11.0,89.06814823105744,90.0,0.9318517689425627,0.003792078681867479,0.040000000000000924,0.11620673449411642,6.999040165010971,7.0,0.0,188.1925070095723,8.0,0.048394591735515684,8.025092334267942,121.12915504205742,15.949300595663718,0.03009409625350478,3.0376385014019145,0
11.100000000000001,89.0898657594664,90.0,0.9101342405335977,0.0037904237613173956,0.040000000000000924,0.11355923109756695,6.999083404963955,7.0,0.0,190.2649856888585,8.0,0.04625215981378654,8.025368664758515,121.14158991413316,16.01459215907572,0.030095132492844432,3.0380529971377714,0
11.200000000000001,89.11157381013953,90.0,0.8884261898604695,0.003788769584357654,0.040000000000000924,0.11091286703484539,6.999125630214976,7.0,0.0,192.33653316022102,8.0,0.044169811837733074,8.02564487108803,121.15401919896132,16.079855226834418,0.03009616826658011,3.038467306632044,0
11.3,89.13327238733662,90.0,0.8667276126633848,0.003787116150873261,0.040000000000000924,0.10826764218217223,6.999166842070567,7.0,0.0,194.4071495676665,8.0,0.04214748279260443,8.025920953275689,121.166442897406,16.14508981172887,0.03009720357478383,3.038881429913533,0
11.4,89.1549614953168,90.0,0.8450385046831993,0.00378546346074868,0.040000000000000924,0.10562355641484898,6.999207041836068,7.0,0.0,196.47683505588415,8.0,0.04018510771053292,8.026196911340785,121.17886101033531,16.21029592654616,0.030098238417527942,3.039295367011177,0
11.5,89.17664113833857,90.0,0.82335886166143,0.0037838115138678283,0.040000000000000924,0.10298060960725826,6.999246230815602,7.0,0.0,198.54558977024502,8.0,0.03828262167054422,8.0264727453027,121.19127353862149,16.27547358407148,0.030099272794885123,3.0397091179540485,0
11.600000000000001,89.19831132065971,90.0,0.8016886793402812,0.0037821603101140817,0.040000000000000924,0.10033880163286708,6.999284410312092,7.0,0.0,200.61341385679972,8.0,0.036439959798559664,8.026748455180906,121.20368048314079,16.340622797088074,0.030100306706928395,3.04012268277136,0
11.700000000000001,89.21997204653736,90.0,0.7800279534626313,0.0037805098493702755,0.040000000000000924,0.09769813236423176,6.999321581627255,7.0,0.0,202.6803074622747,8.0,0.034657057267370714,8.02702404099497,121.21608184477365,16.405743578377145,0.030101340153731136,3.040536061492455,0
11.8,89.24162332022799,90.0,0.7583766797720077,0.0037788601315187063,0.040000000000000924,0.09505860167299814,6.999357746061601,7.0,0.0,204.7462707340718,8.0,0.03293384929662728,8.027299502764542,121.22847762440442,16.470835940717922,0.030102373135367032,3.0409492541468146,0
11.9,89.26326514598738,90.0,0.7367348540126245,0.00377721115644113,0.040000000000000924,0.09242020942990022,6.999392904914435,7.0,0.0,206.8113038202695,8.0,0.03127027115286536,8.02757484050937,121.24086782292163,16.535899896887724,0.030103405651910137,3.041362260764054,0
